Rank,CNG,Prospect,College,POS,Ht,Wt,CLS,Bio_URL
128,+15,Albert Regis,Texas A&M,DL3T,"6'1""",295,RSR,https://12thman.com/sports/football/roster/albert-regis/14684
129,-15,Michael Taaffe,Texas,S,"6'0""",190,RSR,https://texaslonghorns.com/sports/football/roster/michael-taaffe/14381
130,--,Oscar Delp,Georgia,TE,"6'5""",245,SR,https://georgiadogs.com/sports/football/roster/oscar-delp/9515
131,--,Devin Moore,Florida,CB,"6'3""",198,SR,https://floridagators.com/sports/football/roster/devin-moore/17616
132,--,Tim Keenan III,Alabama,DL1T,"6'1""",327,RSR,https://rolltide.com/sports/football/roster/tim-keenan-iii/13802
133,--,Bryce Boettcher,Oregon,ILB,"6'1""",233,RSR,https://goducks.com/sports/football/roster/bryce-boettcher/17353
134,--,Jude Bowry,Boston College,OT,"6'5""",314,RJR,https://bceagles.com/sports/football/roster/jude-bowry/24289
135,--,Max Llewellyn,Iowa,EDGE,"6'4""",258,RSR,https://hawkeyesports.com/sports/football/roster/player/max-llewellyn
136,--,Trey Zuhn III,Texas A&M,OC,"6'7""",312,RSR,https://12thman.com/sports/football/roster/trey-zuhn-iii/14724
137,--,Nick Singleton,Penn State,RB,"6'0""",219,SR,https://gopsusports.com/sports/football/roster/player/nicholas-singleton
138,--,Demond Claiborne,Wake Forest,RB,"5'10""",188,SR,https://godeacs.com/sports/football/roster/demond-claiborne/8566
139,+45,Nick Barrett,South Carolina,DL3T,"6'3""",312,RSR,https://gamecocksonline.com/sports/football/roster/player/nick-barrett/
140,+30,Cole Payton,North Dakota State,QB,"6'3""",232,SR,https://gobison.com/sports/football/roster/cole-payton/23101
141,--,Jalen Huskey,Maryland,S,"6'1""",196,SR,https://umterps.com/sports/football/roster/jalen-huskey/14705
142,--,Isaiah World,Oregon,OT,"6'8""",309,RSR,https://goducks.com/sports/football/roster/isaiah-world/17446
143,+15,Kaleb Elarms-Orr,TCU,OLB,"6'2""",234,SR,https://gofrogs.com/sports/football/roster/kaleb-elarmsorr/17394
144,--,Nadame Tucker,Western Michigan,EDGE,"6'2""",247,SR,https://wmubroncos.com/sports/football/roster/nadame-tucker/15568
145,-25,Michael Trigg,Baylor,TE,"6'4""",240,RSR,https://baylorbears.com/sports/football/roster/michael-trigg/14114
146,--,Charles Demmings,Stephen F Austin,CB,"6'1""",193,SR,https://sfajacks.com/sports/football/roster/charles-demmings/7542
147,--,J.C. Davis,Illinois,OT,"6'4""",322,RSR,https://fightingillini.com/sports/football/roster/j-c--davis/14459
148,+40,Jadon Canady,Oregon,CBN,"5'11""",181,RSR,https://goducks.com/sports/football/roster/jadon-canady/17452
149,--,DeShon Singleton,Nebraska,S,"6'3""",205,RSR,https://huskers.com/sports/football/roster/player/deshon-singleton
150,-15,Harold Perkins Jr.,LSU,OLB,"6'1""",223,SR,https://lsusports.net/sports/fb/roster/player/harold-perkins-jr/
151,-20,Anthony Lucas,USC,EDGE,"6'6""",256,SR,https://usctrojans.com/sports/football/roster/anthony-lucas/17706
152,-15,Seth McGowan,Kentucky,RB,"6'0""",223,SR,https://ukathletics.com/sports/football/roster/player/seth-mcgowan/
153,-15,Cade Klubnik,Clemson,QB,"6'2""",207,SR,https://clemsontigers.com/sports/football/roster/cade-klubnik/
154,-25,Deontae Lawson,Alabama,ILB,"6'3""",226,RSR,https://rolltide.com/sports/football/roster/deontae-lawson/13806
155,--,Taurean York,Texas A&M,ILB,"5'11""",226,JR,https://12thman.com/sports/football/roster/taurean-york/14722
